date,code,open,high,low,close,volume,amount,pctChg
2016-05-20,sh.000300,3064.5260,3105.2010,3039.4620,3078.2180,32398035800,362056744077.0000,0.106766
2016-05-27,sh.000300,3078.5150,3098.4780,3027.4440,3062.4990,29594613500,320117053458.0000,-0.510653
2016-06-03,sh.000300,3056.3140,3201.7490,3037.6650,3189.3250,50260538200,580021214550.0000,4.141258
2016-06-08,sh.000300,3192.7790,3197.2200,3148.3520,3163.9860,22191384000,287570640652.0000,-0.794525
2016-06-17,sh.000300,3134.0450,3145.6060,3042.2330,3110.3570,41502634900,490333431417.0000,-1.694982
2016-06-24,sh.000300,3114.9060,3155.4930,3033.9650,3077.1560,39058354500,463930155803.0000,-1.067434
2016-07-01,sh.000300,3065.1280,3170.2580,3064.9660,3154.2000,43045446400,531065677097.0000,2.503774
2016-07-08,sh.000300,3136.3850,3220.5400,3134.0230,3192.2810,59676493900,692578651053.0000,1.207311
2016-07-15,sh.000300,3199.0380,3300.9910,3197.6250,3276.2780,69645064200,796004424738.0000,2.631285
2016-07-22,sh.000300,3269.7080,3281.6370,3220.8940,3225.1620,44393458700,543143026198.0000,-1.560185
2016-07-29,sh.000300,3220.1660,3276.5110,3157.4090,3203.9300,51226774000,623772895792.0000,-0.658324
2016-08-05,sh.000300,3196.4250,3224.8730,3156.7490,3205.1100,37273597700,430562855016.0000,0.036830
2016-08-12,sh.000300,3199.5720,3294.2340,3187.2520,3294.2340,48546693900,561070460494.0000,2.780685
2016-08-19,sh.000300,3303.4690,3418.6880,3302.3780,3365.0200,81812252600,961239465144.0000,2.148816
2016-08-26,sh.000300,3364.6810,3372.8330,3279.8060,3307.0900,46418679700,536509653959.0000,-1.721506
2016-09-02,sh.000300,3306.5750,3333.9730,3295.7550,3314.1140,40007214700,477047544541.0000,0.212392
2016-09-09,sh.000300,3321.0050,3357.3570,3300.1260,3318.0440,43408977500,500231067270.0000,0.118584
2016-09-14,sh.000300,3271.8700,3276.7160,3231.3350,3238.7300,26053066700,291100021594.0000,-2.390384
2016-09-23,sh.000300,3242.7430,3303.1990,3242.7430,3275.6670,30450579500,356299945409.0000,1.140478
2016-09-30,sh.000300,3267.6900,3267.6900,3214.4410,3253.2850,27407081200,312224407110.0000,-0.683250
2016-10-14,sh.000300,3265.3650,3308.0040,3258.9580,3305.8480,40044267300,411617670097.0000,1.615721
2016-10-21,sh.000300,3305.9630,3341.5600,3271.5410,3327.7400,47916599500,478774926680.0000,0.662220
2016-10-28,sh.000300,3332.5120,3382.8260,3330.9670,3340.1260,53299398400,555397822897.0000,0.372205
2016-11-04,sh.000300,3332.4060,3379.9890,3317.3280,3354.1750,46778132500,513968733389.0000,0.420613
2016-11-11,sh.000300,3353.4440,3422.6710,3322.0800,3417.2210,67562336000,668620724115.0000,1.879628
2016-11-18,sh.000300,3409.2240,3452.6160,3408.1390,3417.4550,71513487200,711427168885.0000,0.006848
2016-11-25,sh.000300,3412.6520,3521.3030,3412.0800,3521.2980,77671428600,817944006011.0000,3.038606
2016-12-02,sh.000300,3538.6750,3583.7190,3516.7880,3528.9550,99938025800,1062243701272.0000,0.217448
2016-12-09,sh.000300,3473.6880,3507.9270,3445.7560,3493.7000,67841377800,703048385532.0000,-0.998993
2016-12-16,sh.000300,3489.2680,3495.8020,3327.1430,3346.0310,63831667400,669420417379.0000,-4.226722
2016-12-23,sh.000300,3342.3450,3344.8580,3289.2680,3307.5990,46718722700,472968875741.0000,-1.148555
2016-12-30,sh.000300,3293.2240,3330.2320,3267.0480,3310.0810,37611281700,399764521801.0000,0.075039
2017-01-06,sh.000300,3313.9530,3373.4120,3313.9530,3347.6670,35241419400,367888717566.0000,1.135531
2017-01-13,sh.000300,3345.7480,3370.5050,3309.3740,3319.9120,42401826400,416788525722.0000,-0.829055
2017-01-20,sh.000300,3314.1510,3358.4120,3264.2070,3354.8890,42931596000,438398736554.0000,1.053552
2017-01-26,sh.000300,3359.0540,3395.8850,3355.8470,3387.9610,26544530200,271514525550.0000,0.985785
2017-02-03,sh.000300,3390.9310,3392.4770,3362.5650,3364.4920,5518886100,57113853255.0000,-0.692688
2017-02-10,sh.000300,3368.1080,3422.3260,3347.4300,3413.4870,42900593600,450078858523.0000,1.456238
2017-02-17,sh.000300,3416.9170,3457.5560,3416.8750,3421.4420,56547433900,568366240944.0000,0.233076
2017-02-24,sh.000300,3421.6430,3492.9620,3421.6430,3473.8520,54535832800,571020447768.0000,1.531840
2017-03-03,sh.000300,3471.1320,3472.8360,3412.8310,3427.8630,44804050300,486013769998.0000,-1.323833
2017-03-10,sh.000300,3427.2530,3457.0350,3414.6780,3427.8920,39757987200,451039041836.0000,0.000875
2017-03-17,sh.000300,3425.6720,3492.1270,3412.6880,3445.8050,45795651400,544927453946.0000,0.522595
2017-03-24,sh.000300,3449.0520,3499.3180,3429.8250,3489.6000,50134196600,598729586047.0000,1.270966
2017-03-31,sh.000300,3488.7650,3505.9790,3422.3660,3456.0450,50401631600,559620345638.0000,-0.961543
